studentid,comp_name,position,salary
1b5c272658a037756ddcb7274ed40d51,ECIO,ทำเกี่ยวกับ Content,30000
eeab810676ca0be8d3d13127e43635d1,บริษัท อยุธยา จำกัด    แผนกกรรมการบริษัท,ที่เรียนเกี่ยวกับวิศวะ แต่ทำงานเกี่ยวกับด้านการตลา,150000
8a78399adb7740a4eacec90b61756d78,,ทำงานสานบริหารธรุกิจ,20000
fb397e77288fde8fec75228f6d112eb8,,ไม่ตรงกับสายงานที่เรียน,30000
02e917501fdd07c8937a08688f46426a,,ไม่ได้เรียนภาษา,
fc7676ca6032dbf05595a3e3358b6dd0,,เป็นงานพิเศษชั่วคราว,
2f122315d437d2c173f79289afd5bebe,Flash Express,เป็นงานบริการ,12000
8ef424af072094945c0dd999f1a9ea30,หจก.ปอปอ นำชัย/หจก.ปอปอ ยิ่งเจริญ,ไม่ได้ทำงานด้านการสอน,15000
9c62928cebe563000faa5b8967e617a3,CMKL,ฐานเงินเดือนสูง,40000
572ad97b22e88a65b3dd4f06edd1e119,ศูนย์ศึกษาพระพุทธศาสนาวันอาทิตย์,เรียนวิทย์อาหาร แต่สอนหนังสือเด็กประถม,3000
8e7df3cee0e588428b2eac7ec6f362de,บริษัทอเด็กโก,เป็นงาน Past time ทำเตอนเรียนคาดว่ารับปริญญาเสร็จจ,18000
7ebdad1f1236d16373c420f7b1afa113,บริษัท นพ เจริญกิจ จำกัด,เน้นงาน Civil,20000
94740700a42652b6985a56da4862159b,,ช่วยกิจการที่บ้าน,
b6c34a2a0597e084f75e0f2a54b31355,,ไม่ได้ใช้ความรู้ด้านจุลินทรีย์,12000
7faa0852a7bb9c1d54606a151c3b2c0e,Interhides Co,LTD,อยากลองทำงานใหม่ๆ,18000
7421cdaa3c3e5ded21ee3c3d16103e69,ภาดาเทค จำกัด,เป็นธุรกิจของครอบครัวเกี่ยวกับวิศวกรรม,15000
b43e34a50017036c039d7be9e6f6113c,ธุรกิจรับเหมาก่อสร้าง,ช่วยงานที่บ้าน,20000
ec8f2f835ee20b512de382fffc9515c4,อันดามัน ซีฟู๊ด,ทำงานด้านอาหาร,16000
82839cb0da68ed25f8dce9427e2c9c1a,-,ทำงานที่บ้าน ที่บ้านทำธุรกิจส่วนตัว คือ ค้าขาย,20000
716d20fa7dbea13a38ca77e2e8d41eda,กรีนเนอร์ คอนซัลแทนท์ จำกัด,ไม่ได้ใช้วิชาหลักๆที่เรียน และไม่ได้ใช้ความรู้ที่เ,16000
7546b0e92489de93c841662065e983a3,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,บัณฑิตไม่เลือกงาน และงานรับทุกสาขา,20280
2f55c0c8f32c1ceec53cd470e6a5700f,เตี๊ยวลุยทุ่ง,อยากหาอะไรใหม่ๆทำ,30000
b0d4b33d2e63ff9c78a04b8c16e9c830,,เนื่องจากงานที่ทำเป็นงานเกี่ยวกับคอมฯ แต่เรียนจบคร,15000
1724b8870633bfe9bbf49d63ad15222d,Country Gtoup Secunties,ไม่ชอบสายงานที่เรียน,15000
1ec7fb2a6f10277384e5040ad87a0da1,บจก. ซีพีแรม (ลาดกระบัง) (CPRAM Co., Ltd. (Ladkrabang)),เป็นสายงานการพูด เจรจามากกว่า แต่ก็หลักคิดวิทยาศาส,22000
2da87d58f26abf0c8f23b57981eb38e9,ธนาคารกสิกรไทย สาขาแจ้งวัฒนะ,ใกล้บ้าน,12000
8e38a941fe1a95a7a01bad452d1cc3ff,IT City ศูนย์การค้าพันธุ์ทิพย์ประตูน้ำ,เนื่องจากความต้องการของตลาดยังไม่เพียงพอ,13000
01116d24f010451bb341cc3bb73f4443,academic exchange corporation company limited ,เป็นการสื่อสารและขายให้กับต่างชาติ,25000
9c0afad08262b699fa3f116213e45696,บจก.มาเจสติกโฮมธนวัช,ไม่ได้ทำงานเกี่ยวกับวิทยาศาสตร์อาหาร แต่สามารถประย,15000
1302c4420f75988a276c723d64e46741,บริษัท ซีซี หม้อแปลงไฟฟ้า จำกัด,เรียนในสายอาหารมา แต่ทำงานในด้านประสานงานขาย,14000
